level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store,id
189,184,ULTA,HD Soft Focus Liquid Foundation,foundation,6.99,3.4,"Ulta's hydrating, brightening, ultra-lightweight liquid foundation, HD Soft Focus Liquid Foundation, offers a beautiful silky texture and provides medium buildable coverage that lasts all day, achieving a naturally flawless complexion.Benefits:Formulated to include a moisture balancing system that inhibits the formation of AGE's and prevents the loss of elasticity which helps reduce visible signs of skin agingContains a novel Super HD/SF Powder system that creates a soft focus, high definition effect and helps blur the appearance of wrinkles and fine linesSolid powder microspheres provide excellent water-repellency and eliminate formula pillingSilica microspheres scatter light, refine pores and create a flawless complexion that looks natural and healthyParaben, gluten and oil freeNo animal derived ingredientsMedium, buildable coverage with a natural finishClick here to find your perfect shade!","Cyclopentasiloxane, Isododecane, Cyclohexasiloxane, Dimethicone, Glycerin, Water / Aqua / Eau, Butylene Glycol, Disteardimonium Hectorite, Adipic Acid / Neopentyl Glycol Crosspolymer, Lecithin, PEG-10 Dimethicone, Polyglyceryl-4 Isostearate, Cetyl PEG / PPG-10 / 1 Dimethicone, Hexyl Laurate, Silica, Sodium Chloride, Sorbitan Sesquioleate, Polysilicone-11, PEG / PPG-18 / 18 Dimethicone, Phenoxyethanol, Caprylyl Glycol, Isopropyl Titanium, Isopropyl Titanium Triisostearate, Ethylene Brassylate, Potassium Sorbate, Hexylene Glycol, Laureth-12, Phenoxyethanol, Ethylhexylglycerin. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",https://www.ulta.com/hd-soft-focus-liquid-foundation?productId=xlsImpprod15361163,Ulta,4
156,151,Maybelline,Fit Me Matte + Poreless Liquid Foundation,foundation,7.99,4.1,"Find your perfect Maybelline Fit Me Matte + Poreless Liquid Foundation shade!Fit Me! Matte + Poreless from Maybelline  goes beyond skin tone matching to fit the unique texture issues of normal to oily skin for the ultimate natural skin fit. While some foundations can exaggerate pores and oily skin, only Maybelline's pore-minimizing foundation contains their genius blurring micro-powders that erase pores and absorb oil for a naturally matte and poreless-looking finish.Benefits:Dermatologist and allergy testedDoes not clog poresOil-free","Aqua/Water/Eau, Cyclohexasiloxane, Nylon-12, Isododecane, Alcohol Denat., Cyclopentasiloxane, Peg-10 Dimethicone, Cetyl Peg/Ppg-10/1 Dimethicone, Peg-20, Polyglyceryl-4 Isostearate, Disteardimonium Hectorite, Phenoxyethanol, Magnesium Sulfate, Disodium Stearoyl Glutamate, HDI/Trimethylol Hexyllactone Crosspolymer, Titanium Dioxide, Methylparaben, Acrylates Copolymer, Tocopherol, Butylparaben, Aluminum Hydroxide, Alumina, Silica, Glycerin, [+/- May Contain/Peut Contenir, CI 77891/Titanium Dioxide, CI 77491, CI 77492, CI 77499/Iron Oxides, ] D166390/3.",https://www.ulta.com/fit-me-matte-poreless-liquid-foundation?productId=xlsImpprod11861007,Ulta,4
192,187,NYX Professional Makeup,Stay Matte Powder Foundation,foundation,9.5,4.1,"Want a matte foundation to help you achieve a flawless-looking complexion? NYX Professional Makeup's Stay Matte But Not Flat Powder Foundation provides the perfect finish to flatter more skin tones than ever before. You'll look naturally flawless with minimal effort! Stay Matte But Not Flat Powder Foundation is the best foundation powder to cover imperfections and even skin tone. With its natural matte finish, the powder makeup won't leave your skin looking flat or dry. Finding a foundation for tricky combination skin can be tough, but this matte foundation is here to the rescue. It's a great foundation for combination skin, as oily T-zones and dry patches require a unique formula to balance your complexion. The foundation conceals acne blemishes, dark spots and other imperfections with ease. The buildable powder face foundation keeps skin looking perfectly matte, yet radiant. With a new expanded range of shades and tones - from porcelain to cocoa - you'll have no problem finding your perfect shade match. Featuring a vegan formula with no animal-derived ingredients or by-products, all NYX Professional Makeup products are proudly cruelty-free and PETA certified.Key Benefits:Lightweight powder foundation with buildable coverageNatural matte finishWide range of shades for many skin tonesCruelty-freeVegan formula* (no animal-derived ingredient or by-product)","Nylon-12, Hydrogenated Polyisobutene, Magnesium Stearate, Silica, Phenyl Trimethicone, Bis-Diglyceryl Polyacyladipate-2, Cyclopentasiloxane, Zinc Stearate, Boron Nitride, Tocopheryl Acetate, Dimethiconol, Ethylhexylglycerin, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",https://www.ulta.com/stay-matte-powder-foundation?productId=xlsImpprod4141615,Ulta,4
137,132,Milani,Conceal + Perfect 2-in-1 Foundation + Concealer,foundation,9.99,4.0,"Find your perfect Milani Conceal + Perfect 2-in-1 Foundation + Concealer shade!Combat under eye circles, redness and other skin imperfections with this medium to full coverage, water-resistant foundation plus concealer in one. Milani Conceal + Perfect 2-in-1 Foundation + Concealer's no mess, no drip pump dispenses just the right amount of fluid needed to achieve a flawless look and works around the clock to keep skin looking naturally perfect!#JeffreeStarApproved","Water (Aqua), Cyclopentasiloxane, Isononyl Isononanoate, Cetyl PEG/PPG-10/1 Dimethicone, Butylene Glycol, Mica, Glycerin, BIS-PEG/PPG-14/14 Dimethicone, VP/Eicosene Copolymer, Bis-Vinyl Dimethicone/Dimethicone Copolymer, Ozokerite, Polymethylsilsesquioxane, Disteardimonium Hectorite, Sodium Chloride, Phenoxyethanol, Beeswax (Cera Alba), Glycereth-18 Ethylhexanoate, Potassium Sorbate, Silica, Caprylyl Glycol, 1,2-Hexanediol, Xanthan Gum, Isododecane, Propylene Carbonate, Prunus Domestica Fruit Extract, Glycereth-18, Aluminum Dimyristate, Triethoxycaprylylsilane, Disodium Stearoyl Glutamate, Allantoin, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Polyisobutene, C18-21 Alkane. +/- May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",https://www.ulta.com/conceal-perfect-2-in-1-foundation-concealer?productId=xlsImpprod17081067,Ulta,4
187,182,Catrice,HD Liquid Coverage Foundation,foundation,10.99,4.3,"Hi-Def Coverage! Catrice's HD Liquid Coverage Foundation is an ultra-lightweight, high coverage foundation for a natural looking finish.Benefits:Covers imperfections and mattifies the skin creating a smooth and even complexion for up to 24 hoursFeatures a unique dropper applicatorParaben freeNot tested on animals","Aqua (Water), Dimethicone, Talc, PEG-10 Dimethicone, Trimethylsiloxysilicate, Polypropylene, Isododecane, Cetyl PEG / PPG-10 / 1 Dimethicone, Nylon-12, HDI / Trimethylol Hexyllactone Crosspolymer, Sodium Chloride, Hydrogen Dimethicone, Glycerin, Magnesium Sulfate, Disteardimonium Hectorite, Methicone, Ethylhexylglycerin, Silica, Aluminum Hydroxide, Propylene Carbonate, Dehydroacetic Acid, Sodium Dehydroacetate, Phenoxyethanol, Benzoic Acid, Parfum (Fragrance), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), CI 77891 (Titanium Dioxide).",https://www.ulta.com/hd-liquid-coverage-foundation?productId=xlsImpprod16021093,Ulta,4
176,172,Maybelline,Super Stay Full Coverage Foundation,foundation,11.99,3.8,"Find your perfect Maybelline Super Stay Full Coverage Foundation shade!Be your own professional makeup artist with Maybelline's Super Stay Full Coverage Foundation. Saturated color pigments provide an ultra-transforming effect in this long-lasting foundation. The lightweight, yet high-impact coverage formula glides onto the skin for a flawless finish that lasts all day.Benefits:Oil freeDoesn't clog poresDermatologist testedFull-coverage foundation with a seamless finishEvens out, camouflages, and enhancesMinimizes the appearance of flaws and imperfectionsGlides onto skin for smooth and breathable wear","Cyclopentasiloxane, Aqua / Water, Polypropylsilsesquioxane, Isododecane, Dimethicone, C30-45 Alkyldimethylsilyl Polypropylsilsesquioxane, PEG-10 Dimethicone, Glycerin, Silica, Dimethicone/Polyglycerin-3 Crosspolymer, Sodium Chloride, Nylon-12, Phenoxyethanol, Disteardimonium Hectorite, Disodium Stearoyl Glutamate, Cyclomethicone, Chlorphenesin, Ethylparaben, Disodium Edta, Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride, Copolymer, Aluminum Hydroxide, Dipropylene Glycol, Isobutane, Paraffin, Sodium Citrate, Tocopherol, Isopropyl Alcohol. May Contain: CI 77891 / Titanium Dioxide, CI 77491, CI 77492, CI 77499 / Iron Oxides.",https://www.ulta.com/super-stay-full-coverage-foundation?productId=xlsImpprod17161541,Ulta,4
153,148,Makeup Revolution,Conceal & Define Full Coverage Foundation,foundation,12.0,3.9,"Makeup Revolution's Conceal & Define Full Coverage Foundation offers lightweight yet buildable coverage in 50 skin-true shades, this versatile foundation is designed to suit every skin type and tone. With an oil-free yet creamy and comfortable formula that dries down to a long-lasting, demi-matte finish, it won't settle into fine lines or cling to dry patches. Housed in a luxe glass bottle with a jumbo doe-foot applicator for greater control and less waste, this foundation offers highly pigmented coverage that can be layered or diffused to suit your look.Swipe on and blend out to ramp up the coverage for a real skin finish that diffuses blemishes and uneven skin tone. Or let your complexion's natural character shine through using a small amount with a damp beauty sponge for veil-like coverage. Follow with your favourite shades of Conceal & Define Concealer to highlight, contour or conceal.Benefits:VeganCruelty FreeParaben FreeOil Free","Isododecane, Aqua/Water/Eau, Cyclopentasiloxane, Dimethicone, Silica, Isobutylmethacrylate/Bis-Hydroxypropyl Dimethicone Acryalate Copolymer, Butylene Glycol, Ethylhexyl Palmitate, Cetyl Peg-Ppg - 10/1 Dimethicone, Isononyl Isononanoate, Dimethicone Crosspolymer, Quatenium-90 Bentonite, Sorbitan Sesquioleate, C30-45 Alkyl Dimethicone, Sodium Chloride, Phenoxyethanol, Propylene Carbonate, Tocopheryl Acetate, Caprylyl Glycol, Methicone, Lecithin, Polyhydroxysteric Acid, Isopropyl Myristate, Isostearic Acid, Polyglycerol-3 Polyricinoleate. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499).",https://www.ulta.com/conceal-define-full-coverage-foundation?productId=pimprod2000323,Ulta,4
149,168,L'Oréal,Infallible Pro-Matte Liquid Longwear Foundation,foundation,12.99,4.2,"L'Oréal's Infallible Pro-Matte 24HR Foundation has an air-light texture with a demi-matte finish. This super gliding mattifying formula has a high water content for maximum comfort that lasts!Benefits:Contains Shine Defy Blotting Spheres that act like blotting paper, instantly absorbing sweat and oil without disturbing color pigmentsMedium coverageClick here to find your perfect shade!",No listed,https://www.ulta.com/infallible-pro-matte-liquid-longwear-foundation?productId=xlsImpprod11861081,Ulta,4
123,149,J.Cat Beauty,Online Only Aquasurance Compact Foundation,foundation,13.99,4.0,Find your perfect J. Cat Beeauty Aquasurance Compact Foundation shade!J.Cat Beauty Aqua Surance Compact Foundation contains a finely milled formula that minimizes the appearance of pores. This innovative hydrating powder is non-clogging that absorb and balances excess oil without looking cakey. The compact has a water lock system to maintain moisture within the powder which can't be found in an average compact. It blends effortlessly providing medium to full coverage for a flawless finish. The sponge is antibacterial that delivers airbrush effect for a flawless finish.,"Mica, Talc, Silica, Dimethicone, Nylon-12, Microcrystalline Cellulose, Hydroxyapatite, Caprylic, Capric Triglyceride, Dimethicone Crosspolymer Phenyl Trimethicone, Caprylyl Glycol, Lauroyl Lysine, 1, 2-Hexanedio, Methicone, Ethylhexylglycerin, Allantoin, Alumina, Cereus Grandiflorus (Cactus) Flower Extract Chamomilla Recutitta (Matricaria) Flower Extract, Chlorella Minutissima Extract Water, Tocopherol, Dimethiconol Fluoroalcohol Dilinoleic Acid, Titanium Dioxide, Iron Oxide (CI 77492), Iron Oxides (CI 77491), Iron Oxides (CI 77499).",https://www.ulta.com/aquasurance-compact-foundation?productId=pimprod2000221,Ulta,4
135,130,ULTA,Adjustable Coverage Foundation,foundation,14.0,4.3,"Find your perfect ULTA Beauty Adjustable Coverage Foundation shade!Ulta's Adjustable Coverage Foundation is a creamy, moisturizing formula that provides a flawless and luminous finish. The formula glides effortlessly onto the skin; skin feels smooth and comfortable upon application. An innovative blend of ingredients ensures the powder adheres to the skin for a look that lasts. Use the formula wet or dry for adjustable coverage. Go on, take it to the test!Formerly: Double Duty Wet & Dry Pressed Powder FoundationBenefits:Creamy, moisturizing formulaLuminous finishLong wearAdjustable coverageCan be used wet or dryReduces the appearance of fine lines and imperfectionsSuitable for all skin types.Product Features:Granulometric Silica provides a soft and smooth application, wet or dry.Silicones and Esters lend to the creaminess of the formula. Adds comfort and long wear properties.Active Nylon12 adds comfort, hydration and suppleness. Smoothes skin's surface reducing the appearance of fine lines and imperfections.Click here to find your perfect shade!","Talc, Mica, Silica, Dimethicone, Nylon-12, Octyldodecyl Stearoyl Stearate, Pentaerythrityl Tetraisostearate, Capryloyl Glycine, Undecylenoyl Glycine, HDI/Trimethylol Hexyllactone Crosspolymer, Lauroyl Lysine, Dimethiconol, Sodium Hyaluronate, Water, Glycerin, Lauryl Methacrylate/Glycol Dimethacrylate Crosspolymer, Dicaprylyl Ether, Cassia Angustifolia Seed Polysaccharide, Polyglyceryl-2 Dipolyhydroxystearate, Gellan Gum. May Contain (+/-): Iron Oxides (CI 77491, CI 77492,CI 77499), Titanium Dioxide (CI 77891), Bismuth Oxychloride (CI 77163), Red 7 Lake (CI 15850).",https://www.ulta.com/adjustable-coverage-foundation?productId=xlsImpprod5721072,Ulta,4
