level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store
991,985,Natasha Denona,Diamond & Blush Palette,blush,89.0,4.5,"What it is: A new multidimensional texture palette for cheeks inspired by Natasha’s famous Glow system.What it does:This cheek palette was created with a diamond-like sparkle, based on Natasha's idea of a new generation of glow. Use it to play and achieve a wide range of finishes and looksfrom natural to extreme. Create a duo-chrome or diamond glow. The palette also includes a new cream blush, as well as Natasha’s classic powder blush.This set contains:- 0.25 oz/ 7 g Glow Cream- 0.25 oz/ 7 g Diamond Powder- 0.25 oz/ 7 g Cream Blush- 0.25 oz/ 7 g Powder Blush- 0.25 oz/ 7 g Duo Chrome Highlighter- 0.25 oz/ 7 g Extreme GlowWhat it is formulated WITHOUT:- ParabensWhat else you need to know: This palette is free of talc free, UV filters, D5, and oil. It is also cruelty-free","Glow Cream: Ethylhexyl Palmitate,Hydrogenated Polyisobutene, Polymethyl Methacrylate, Trimethylsiloxyphenyl Dimethicone, Mica, Cera Microcristallina, Isostearyl Neopentanoate, Silica, Synthetic Fluorphlogopite, Cera Alba, Copernicia Cerifera Cera, Tin Oxide. May contain (+/-): Ci 77891, Ci 77491, Ci 75470.Cream Blush: Isosetaryl Neopentanoate, Mica, Polyurethane 44, Aluminum Hydroxide, Copernicia Cerifera Cera, Candelilla Cera, Silica, Dimethicone, Triethoxycaprylylsilane, Tin Oxide. May contain (+/-): Ci 77891, Ci 19140, Ci 15850, Ci 15850.Duo Chrome Highlighter: Calcium Sodium Borosilicate, Mica, Talc, Diisostearyl Malate, Dimethicone, Silica, Zinc Stearate, Isostearyl Neopentanoate, Polybutene, Tocopherol, Octyldodecyl Stearoyl Stearate, Isopropyl Isostearate, Caprylyl Glycol, Phenoxyethanol, Dimethicone Crosspolymer, Hexylene Glycol, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Glyceryl Oleate, Citric Acid, Tin Oxide. May contain (+/-): Ci 77891, Ci 77491, Ci 77492, Ci 77499, Ci 75470, Ci 45410.Diamond Powder: Polymethylsilsesquioxane, Calcium Sodium Borosilicate, Dimethicone, Polysorbate 20, Zinc Stearate, Talc, Diisostearyl Malate, Caprylyl Glycol, Phenoxyethanol, Sodium Dehydroacetate, Potassium Srobate, Hexylene Glycol, Tin Oxide. May contain (+/-): Ci 77891, Ci 77491, Ci 77492, Ci 77499.Powder Blush: Octyldodecyl Stearoyl Stearate, Zinc Stearate, Isostearyl Neopentanoate,Polybutene, Talc, Mica, Isopropyl Isostearate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Tin Oxide, Tocopherol, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Glyceryl Oleate, Citric Acid. May contain (+/-): Ci 77891, Ci 77491, Ci 15850.Extreme Glow: Diisostearyl Malate, Dimethicone, Zinc Stearate, Isostearyl Neopentanoate, Polybutene, Octyldodecyl Stearoyl Stearate, Aluminum Hydroxide, Isopropyl Isostearate, Caprylyl Glycol, Phenoxyethanol, Dimethicone Crosspolymer, Hexylene Glycol, Talc, Mica, Tocopherol, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Glyceryl Oleate, Citric Acid, Tin Oxide. May contain (+/-): Ci 77891, Ci 19140.",https://sephora.com/product/diamond-blush-face-highlighting-contour-palette-P428433?icid2=products%20grid:p428433,Sephora
988,982,TOM FORD,Sheer Highlighting Duo,blush,84.0,4.0,"What it is:
A highlighting duo for the cheeks, eyes, and face to achieve glowing skin. 

What it does:
 Sweep Sheer Highlighting Duo in Reflects Gilt features a pair of shimmering rose and yellow gold hues that are inspired by the sunrise and the sunset. Embossed with TOM FORD logo, it imparts a light-reflective finish for bronzed, glowing skin. This duo features a versatile cheek and face highlighter with a radiant eye shadow, and the shades can be applied wet for a soft veil of color, or dry for a pop of vibrancy. Wear these shades alone or together for non-streaking, stay-true color that blends easily.","Tom Ford is a celebrated American designer who launched his brand in 2005 with a mission to redefine modern luxury. With menswear, women’s wear, accessories, eyewear, and beauty, TOM FORD is synonymous with sexy, timeless elegance and superior workmanship.
Visit the TOM FORD boutique",https://sephora.com/product/sheer-highlighting-duo-P417366?icid2=products%20grid:p417366,Sephora
948,937,TOM FORD,Cheek Color,blush,63.0,4.5,"What it is: A powder blush with a color-rich formula that glides onto skin with the comfort of a cream.What Else You Need to Know: This sumptuous powder blush is formulated with spherical pearls and rich emollients that glide onto skin with the comfort of a cream. It achieves outstanding luminosity and a velvety transparency. Six buildable shades allow for versatile color layering, from a sexy glow to a more dramatic, color-rich look.","Talc, Octyldodecyl Stearoyl Stearate, Nylon-12, Dimethicone, Zinc Stearate, Isononyl Isononanoate, Zea Mays (Corn) Starch, Octyldodecyl Lactate, Silica, Octyldodecanol, Polymethyl Methacrylate, Tetrasodium Edta, Bht, Potassium Sorbate, Chlorphenesin, [+/- Mica, Iron Oxides (Ci 77491), Red 7 Lake (Ci 15850), Ferric Ammonium Ferrocyanide (Ci 77510), Titanium Dioxide (Ci 77891), Carmine (Ci 75470), Chromium Oxide Greens (Ci 77288), Red 30 Lake (Ci 73360), Yellow 5 Lake (Ci 19140), Manganese Violet (Ci 77742), Ferric Ferrocyanide (Ci 77510), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Chromium Hydroxide Green (Ci 77289), Bismuth Oxychloride (Ci 77163), Red 7 (Ci 15850), Blue 1 Lake (Ci 42090), Yellow 6 Lake (Ci 15985), Red 6 (Ci 15850), Ultramarines (Ci 77007), Red 30 (Ci 73360)] ",https://sephora.com/product/cheek-color-P422553?icid2=products%20grid:p422553,Sephora
939,929,NARS,Exposed Cheek Palette,blush,59.0,4.0,"What it is: A palette of six lightweight pigments encapsulated in a breakthrough formula that delivers a sheer wash of color to accentuate all skin tones.What Else You Need to Know: NARS’s Color Clarity Complex is a lightweight powder encapsulated in a clear base that builds effortlessly and blends seamlessly onto any skin tone, revealing color in its truest form. This unique formula allows pigment to be built up while keeping a luxurious, non-chalky texture. It can be worn wet or dry for different effects. Apply it dry for a silky veil of second-skin color. Apply it wet for a high-impact glow. Shades can be worn individually or blended together for multidimensional sheen.This Palette Contains:- 6 x 0.1 oz/ 2.96 g Blush in Tell All (pearlescent golden pink), Now or Never (satin terracotta), Give it Away (satin nude), Make You Mine (satin peach), Come Hither (satin watermelon), New Fling (satin fuchsia)","Tell All: Calcium Aluminum Borosilicate, Cetearyl Ethylhexanoate, Hdi/Trimethylol Hexyllactone Crosspolymer, Squalane, Octyldodecyl Stearoyl Stearate, Glycerin, Ethylhexylglycerin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polysorbate 20, 1,2-Hexanediol, Chondrus Crispus Extract, Xanthan Gum, Silica, Synthetic Fluorphlogopite, Tin Oxide, Dicalcium Phosphate, Caprylyl Glycol. May Contain (+/-): Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499).Now Or Never:Synthetic Fluorphlogopite, Dimethicone, Silica, Sorbitan Isostearate, Phenyl Trimethicone, Peg-12 Dimethicone, Polysorbate 20, Glycerin, Hydrogenated Lecithin, Ethylhexylglycerin, 1,2-Hexanediol, Alumina, Chondrus Crispus Extract, Xanthan Gum, Caprylyl Glycol. May Contain (+/-): Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Red 30 Lake (Ci 73360).Give It Away, New Fling:Cetearyl Ethylhexanoate, Dimethicone, Nylon-12, Zinc Stearate, Squalane, Octyldodecyl Stearoyl Stearate, Glycerin, Ethylhexylglycerin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polysorbate 20, 1,2-Hexanediol, Chondrus Crispus Extract, Xanthan Gum, Hdi/Trimethylol Hexyllactone Crosspolymer, Silica, Caprylyl Glycol. May Contain (+/-): Mica, Titanium Dioxide (Ci 77891), Carmine (Ci 75470), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Red 7 Lake (Ci 15850).Make You Mine:Dimethicone, Synthetic Fluorphlogopite, Silica, Sorbitan Isostearate, Phenyl Trimethicone, Peg-12 Dimethicone, Glycerin, Polysorbate 20, Hydrogenated Lecithin, Ethylhexylglycerin, 1,2-Hexanediol, Sodium Citrate, Chondrus Crispus Extract, Xanthan Gum, Alumina, Caprylyl Glycol. May Contain (+/-): Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77492), Red 30 Lake (Ci 73360).Come Hither:Cetearyl Ethylhexanoate, Dimethicone, Nylon-12, Squalane, Glycerin, Octyldodecyl Stearoyl Stearate, Ethylhexylglycerin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polysorbate 20, 1,2-Hexanediol, Chondrus Crispus Extract, Xanthan Gum, Hdi/Trimethylol Hexyllactone Crosspolymer, Silica, Caprylyl Glycol. May Contain (+/-): Mica, Titanium Dioxide (Ci 77891), Carmine (Ci 75470), Iron Oxides (Ci 77492), Red 30 Lake (Ci 73360).",https://sephora.com/product/exposed-cheek-palette-P441812?icid2=products%20grid:p441812,Sephora
799,955,Natasha Denona,Bloom Blush & Glow Palette,blush,55.0,4.5,"What it is: An ultimate glow palette inspired by Natasha Denona’s bestselling Diamond & Blush Palette, featuring some of her bestselling shades and formulas. Ingredient Callouts: Free of parabens. This product is also cruelty-free and gluten-free.What Else You Need to Know: This palette contains a range of exquisite formulas. The hydrating, velvety cream blush is designed to give your skin a healthy flush of color. Glow Cream Base is a hydrating, luminous cream highlight with real crushed mineral pearls to give your skin the ultimate glow. Duo Glow is a multipurpose, duo-chrome highlighting powder with real, crushed, mineral duo-chrome pearls to give your skin a supernatural, shade-shifting glow. Extreme Glow is a multidimensional, sparkling, creamy powder highlight with a soft-focus, HD finish and a velvety-smooth texture.This Palette Contains:- Glow Cream Base in Peach (natural peach)- Cream Blush in Fuchsia (deep cherry red with a subtle bronze shine)- Glow Extreme in Light Rose (nude champagne)- Duo Glow in Vibrant, Golden Coral (vibrant coral with golden champagne)","Glow Extreme:Talc, Aluminum Calcium  Sodium Silicate, Calcium Titanium Borosilicate, Diisostearyl Malate, Dimethicone, Isostearyl Neopentanoate, Zinc Stearate, Polybutene, Octyldodecyl Stearoyl Stearate, Mica, Caprylyl Glycol,  Tin Oxide, Phenoxyethanol, Aluminum Hydroxide, Dimethicone Crosspolymer, Hexylene Glycol. May Contain (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Carmine (Ci 75470), Yellow 5 Lake (Ci 19140).Duo Glow:Talc, Mica, Diisostearyl Malate, Dimethicone, Synthetic Fluorphlogopite, Zinc Stearate, Isostearyl Neopentanoate, Polybutene, Octyldodecyl Stearoyl Stearate, Aluminum Hydroxide, Isopropyl Isostearate, Caprylyl Glycol, Phenoxyethanol,  Dimethicone Crosspolymer, Hexylene Glycol, Tocopherol, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Glyceryl Oleate, Citric Acid, Tin Oxide. May Contain (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Red 7 Lake (Ci 15850), Yellow 5 Lake (Ci 19140).Cream Blush:Isostearyl Neopentanoate, Mica, Polyurethane 44, Synthetic Fluorphlogopite, Copernicia Cerifera Cera (Copernicia Cerifera (Carnauba) Wax), Candelilla Cera (Euphorbia Cerifera (Candelilla) Wax), Silica, Dimethicone, Triethoxycaprylylsilane, Aluminum Hydroxide. May Contain (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Red 7 Lake (Ci 15850).Glow Cream Base:Ethylhexyl Palmitate, Hydrogenated Polyisobutene, Polymethyl Methacrylate, Mica, Trimethylsiloxyphenyl Dimethicone, Cera Microcristallina (Microcrystalline Wax), Isostearyl Neopentanoate, Silica, Cera Alba (Beeswax), Copernicia Cerifera Cera (Copernicia Cerifera (Cernauba) Wax), Aluminum Hydroxide, Tin Oxide. May Contain (+/-): Ci 77891  (Titanium Dioxide), Iron Oxides (Ci 77491), Ci 77499 (Iron Oxides), Carmine (Ci 75470), Red 28 Lake (Ci 45410), Yellow 5 Lake (Ci 19140).",https://sephora.com/product/bloom-palette-blush-glow-palette-P441872?icid2=products%20grid:p441872,Sephora
982,976,Guerlain,Météorites Happy Glow Blush & Highlighter,blush,54.0,4.0,"Coverage:
✔ Light
Finish:
✔ Matte
✔ Radiant
What it is:
 A powder blush and highlighter that illuminates the complexion with a pearly blend of pigments. 
What it does:
 Inspired by the pink hues of spring, Météorites Happy Glow Blush delivers flattering pressed pearls in a multitude of colors for a glowing complexion. With stardust technology, diamond powder encapsulated in microspheres reflect light for a soft-focused luminosity tailored to every skin tone.     
What else you need to know:
 This product is formulated without alcohol.
","Talc, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Diphenyl Dimethicone/Vinyl Diphenyl Dimethicone/Silsesquioxane Crosspolymer, Nylon-12, Pentaerythrityl Tetraethylhexanoate, Lauroyl Lysine, Magnesium Myristate, Jojoba Esters, Diisostearyl Malate, Aluminum Hydroxide, Silica, Polymethylsilsesquioxane, Pentylene Glycol, Sodium Dehydroacetate, Parfum (Fragrance), Tin Oxide, Caprylyl Glycol, Alpha-Isomethyl Ionone, Benzyl Benzoate, Bht, Linalool, Diamond Powder, Benzyl Alcohol, Limonene, Amyl Cinnamal, Butylphenyl Methylpropional, Geraniol, Tocopherol, [+/- May Contain : Ci 77891 (Titanium Dioxide), Ci 73360 (Red 30 Lake), Ci 77492 (Iron Oxides), Ci 77491 (Iron Oxides), Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide)].",https://sephora.com/product/meteorites-happy-glow-blush-highlighter-P416037?icid2=products%20grid:p416037,Sephora
916,957,lilah b.,Divine Duo™ Lip & Cheek,blush,46.0,4.5,"What it is:A multipurpose, long-wearing, creamy lip and cheek duo with a luxurious matte finish.   
What it does: Long-wearing yet creamy and moisturizing, this innovative formulation provides blendable and buildable colorperfect for day and night. Apply as a cream eyeshadow for the ultimate multitasker.                                                    

What else you need to know:This product is cruelty-free, vegan, and free of synthetic fragrances and gluten.  lilah b. embodies the philosophy of With less, you are more with their streamlined multipurpose collection of color. Simplify your beauty routine with their healthy, good-for-you formulations and achieve a finished, flawless look with fewer products. The luxurious formulas are enriched with aloe, agar, and other beneficial botanicals to deliver a healthy, glowing finish, and come housed in sleek, modern, signature stones.

Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab."," -Aloe: Delivers a healthy-looking, hydrating finish.-Agar: Leaves skin hydrated and glowing.-Coconut Oil: Leaves skin supple and moisturized. Hydrogenated Polyisobutene, Tricaprylin, Ethylhexyl Palmitate, Microcrystalline Wax, Polyethylene, Polyglyceryl-3 Diisostearate, Phenylisopropyl Dimethicone, Polymethylsilsesquioxane, Silica, Octyldodecyl Stearoyl Stearate, Octyldodecanol, Euphorbia Cerifera (Candelilla) Wax, Polysilicone-22, Disteardimonium Hectorite, Dimethicone, Synthetic Beeswax, Aloe Barbadensis Leaf Extract, Agar, Cocos Nucifera (Coconut) Oil, Mica, Alumina, Talc, Potassium Sorbate, Barium Sulfate, Polyhydroxystearic Acid. May Contain: Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Blue 1 Lake (Ci 42090), Red 27 Lake (Ci 45410), Red 6 (Ci 15850), Red 7 Lake (Ci 15850), Yellow 5 Lake (Ci 19140).",https://sephora.com/product/divine-duo-lip-cheek-P421444?icid2=products%20grid:p421444,Sephora
66,63,COVER FX,Online Only Perfector Face Palette,blush,45.0,4.4,"COVER FX Perfector Face Palette features six must-have complexion essentials in one travel-friendly palette designed to take on-the-go. Sculpt with contour and blush, illuminate with two shimmering highlighters, and find your perfect finish with the brightener and finishing powder for a glowing, multidimensional look anywhere and everywhere you go.Vegan, Cruelty free, talc free, paraben free, fragrance free, mineral oil free, gluten free, Alkyl sulfate free, and phthalate free.","Mica, Synthetic Fluorphlogopite, Zinc Stearate, Caprylic/Capric Triglyceride, Dimethicone, Boron Nitride, Ethylene/Acrylic Acid Copolymer, Alumina, Oryza Sativa (Rice) Extract, Lauroyl Lysine, Sodium Dehydroacetate, Magnesium Myristate, Phenoxyethanol, Sorbic Acid, Silica, Tin Oxide, Poloxamer 338, Polymethylsilsesquioxane, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Bismuth Oxychloride (CI 77163), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Ultramarines (CI 77007).",https://www.ulta.com/perfector-face-palette?productId=pimprod2004158,Ulta
906,899,Dior,BACKSTAGE Glow Face Palette,blush,45.0,4.5,"What it is: A face palette with luminous shades of highlighters for a customizable, BACKSTAGE glowin two color harmonies which stretch the boundaries of radiance.What Else You Need to Know: BACKSTAGE is a collection of makeup-artist essentials, designed to suit all skin tones, used at the Dior runway shows, and inspired by the energy backstage. These ultrafine textures are concentrated with shimmery pigments can be worn alone or blended together, for a customizable lookfrom a natural, healthy glow to intense radiance.This Palette Contains:(Each Sold Separately)001 Universal:- 4 x Highlighters in White, Golden, Bronze, Rosy Blush002 Glitz:- 4 x Highlighters in Gold, Pearly White with Maxi Glitter, Bronze with Holographic Accents, Delicately Shimmering Peach","Shade 1: Mica, Calcium Aluminum Borosilicate, Cetearyl Ethylhexanoate, Glycerin, Hdi/Trimethylol Hexyllactone Crosspolymer, Silica, Squalane, Octyldodecyl Stearoyl Stearate, Polysorbate 80, Ethylhexylglycerin, Caprylyl Glycol, 1,2-Hexanediol, Xanthan Gum, Chondrus Crispus Extract, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide, Cetearyl Alcohol, Dicalcium Phosphate, Synthetic Fluorphlogopite, Tocopherol. May Contain (+/-):  Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6, Yellow 6 Lake), Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 45410 (Red 27, Red 27 Lake, Red 28 Lake), Ci 73360 (Red 30, Red 30 Lake), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide), . Shade 2: Mica, Cetearyl Ethylhexanoate, Hdi/Trimethylol Hexyllactone Crosspolymer, Squalane, Octyldodecyl Stearoyl Stearate, Glycerin, Polysorbate 80, Ethylhexylglycerin, Caprylyl Glycol, 1,2-Hexanediol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Chondrus Crispus Extract, Xanthan Gum, Silica, Cetearyl Alcohol, Dicalcium Phosphate, Synthetic Fluorphlogopite, Tocopherol. May Contain (+/-):  Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6, Yellow 6 Lake), Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 45410 (Red 27, Red 27 Lake, Red 28 Lake), Ci 73360 (Red 30, Red 30 Lake), Ci 75470  (Carmine), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide), . Shade 3: Mica, Synthetic Fluorphlogopite, Cetearyl Ethylhexanoate, Hdi/Trimethylol Hexyllactone Crosspolymer, Squalane, Silica, Octyldodecyl Stearoyl Stearate, Glycerin, Polysorbate 80, Ethylhexylglycerin, Caprylyl Glycol, 1,2-Hexanediol, Chondrus Crispus Extract, Xanthan Gum, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide, Cetearyl Alcohol, Dicalcium Phosphate, Tocopherol. May Contain (+/-):  Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6, Yellow 6 Lake), Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 45410 (Red 27, Red 27 Lake, Red 28 Lake), Ci 73360 (Red 30, Red 30 Lake), Ci 75470  (Carmine), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide), .*The ingredients in the composition of Parfums Christian Dior products are regularly updated. Before using a Parfums Christian Dior product, please read the ingredient list on its packaging to ensure that the ingredients are suitable for your personal use.",https://sephora.com/product/backstage-glow-face-palette-P432502?icid2=products%20grid:p432502,Sephora
928,920,Charlotte Tilbury,Beach Lip & Cheek Stick,blush,45.0,3.5,"What it is: A dual-purpose lip-to-cheek creamy color stick.What it does:Beach Sticks can be used on cheeks as blush or on lips as a soft tint. A key ingredient, ceramidone, acts like a poly-filler to plump up and refill the look of skin, giving you a flawless surface, while creamy polymers moisturize the skin. Highly pigmented and shimmering, the formula blends easily, illuminating skin with brilliant, color-saturated pigments for an irresistible summer glow. Light-diffusing spheres soft-focus imperfections and bring radiance to the face, for the perfect summer flash of color. A fusion of waxes hydrate your skin for a dewy, supple finish.What it is formulated WITHOUT:- Parabens- Sulfates","Dicalcium Phosphate, C12-15 Alkyl Benzoate, Isononyl Isononanoate, Polymethylsilsesquioxane, Phenyl Trimethicone, Synthetic Wax, Caprylic/Capric Triglyceride, Glyceryl Tribehenate/Isostearate/Eicosan Dioate, Trimethylolpropane  Triisostearate, Polyethylene, Hdi/Trimethylol Hexyllactone Crosspolymer, Synthetic Fluorphlogopite, Sorbitan Isostearate, Octadecene/Ma Copolymer Octadodecyl/Beta-Sitosteryl Esters, Stearalkonium Bentonite, Octyldodecanol, Ethyl Vanillin, Propylene Carbonate, Octyldodecyl Pca, Pentaerythrityl Tetra-Dl-T-Butyl Hydroxyhydrocinnamate, Beta-Sitosterol, Tin Oxide, Mica (Ci 77019), Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Red 7 Lake (Ci 15850), Carmine (Ci 75470).",https://sephora.com/product/beach-lip-cheek-stick-P434525?icid2=products%20grid:p434525,Sephora
